"latent_1" "latent_2" "latent_3" "latent_4" "latent_5" "late_lytic_1" "late_lytic_2" "late_lytic_3" "late_lytic_4" "late_lytic_5"
"UPF1" 67.9314369012128 51.7240887678267 49.909415430669 84.8683781687505 67.2871285152759 70.2530869780926 47.6525219981836 41.1515120640346 49.5744380150882 65.5682491076796
"SKAP2" 69.4509060887246 67.9626459074252 66.1571846285036 66.8065674646465 68.9189133722797 15.4645160014669 28.6840423678386 31.6977863195942 28.1983041920685 24.3704996683411
"SLC25A5" 240.736523590056 382.036525410738 344.716636067905 290.488620479254 275.771640833649 20.7666357733984 29.6093340571238 111.776404390148 38.6589654246101 56.2842492340259
"MCUB" 16.7463291525274 22.0128098709588 20.9122005464953 41.1856216506149 43.6262480887203 3.97658982894864 8.79027104820862 6.67321817254614 6.82217036904883 11.0247498499638
"POLR2J" 24.2377096174829 29.6166518817577 25.0748168225625 24.9935834377257 21.5467591632904 6.00906907485572 6.19945431821029 7.62971277727776 6.81762225546947 6.27830491455835
"DHX33" 41.4873747648772 41.1787900500449 31.9513547383255 43.3406832486122 44.2021721558981 64.0672805775058 44.8766469303282 55.3376616958389 71.4053831960445 73.1114990050233
"MEOX1" 22.3757448845917 4.97192791256628 5.79166892458698 0.34207326952338 0.431943050383369 6.62764971491439 3.23852091249791 5.00491362940961 0.909622715873178 1.16049998420672
"THSD7A" 3.59525710619232 1.60384771373106 2.25447515185265 0.068414653904676 0 41.9751148611245 37.9369592606898 29.7514310192682 41.3878335722296 33.6544995419948
"LIG3" 28.5728327913179 27.5861806761742 29.5025282802786 28.5973253321545 28.8441970311561 19.4411058304156 27.296104833911 27.8050757189423 25.0146246865124 24.9507496604445
"RPAP3" 41.723904837653 49.598990547133 42.6406765790061 36.2939738964306 40.4106720469774 25.1850689166747 21.7443546982003 23.9123651182903 16.8280202436538 29.012499605168
"ACSM3" 10.1234871148047 13.6728017595573 17.9969309535823 13.6145161270305 14.7340573852994 9.72055291520778 8.79027104820862 12.512284073524 9.09622715873178 9.86424986575711
"REXO5" 11.7318916096802 20.3688659643844 21.9228273387051 8.75707569979852 9.64672812522857 31.3708753172615 43.9513552410431 23.6343143611009 29.1079269079417 29.5927495972713
"CIAPIN1" 35.9052650473681 40.7377319287689 31.9513547383255 31.0260455457705 29.5161084428635 3.09290320029338 10.1782085821363 12.512284073524 4.54811357936589 11.6049998420672
"SPPL2B" 21.5715426371539 17.5220362725118 13.9544237847431 24.0135435205413 20.0704738044246 18.5574192017603 11.566146116064 5.52764905292572 12.1389151433276 7.97263489150016
"ATOSB" 23.038029088364 19.1659801790862 24.0218214456024 13.8197600887445 10.3666332092009 9.27870960088015 2.77587506785535 9.95421710738133 3.63849086349271 4.64199993682687
"COPZ2" 2.98027891697521 2.84682969187263 3.53719377273433 0.820975846856111 1.19984180662047 1.7673732573105 0.462645844642559 1.39025378594711 0 0
"MSL3" 122.806413785201 111.186742754406 125.239981711539 157.456325961612 175.319444973215 26.0687555453299 26.8334589892684 35.5904969202461 37.7493427087369 66.7287490918863
"CREBBP" 54.1180806511055 32.0769542746212 35.6440295560151 62.9072742653495 53.752912936597 79.5317965789727 70.3221683856689 38.3710044921403 69.5861377642981 60.3459991787494
"TSPOAP1" 8.13663450348789 3.88933070579782 4.5089503037053 7.21774598694331 5.95121536083753 66.2764971491439 44.4140010856856 35.0343954058673 18.6472656754001 20.8889997157209
"GCFC2" 21.4296245934884 27.1050263620549 25.1879292827675 19.429761708928 24.2847981659983 16.3482026301222 16.1926045624896 17.5171977029336 11.8250953063513 18.5679997473075
"WDR54" 20.1050561859439 28.3480083401965 39.4991820656832 33.7284243750052 28.5082413253023 2.65105988596576 0.925291689285118 12.512284073524 7.73179308492201 5.80249992103359
"CROT" 25.5925538743427 16.2790542943702 10.37835975077 12.554088991508 13.1022725282955 13.2552994298288 15.729958717847 11.9561825591452 8.64141580079519 12.1852498341705
"ABCB4" 4.77790747007137 7.73856521875236 9.56208426475434 4.06793532117203 4.17544948703923 7.51133634356965 7.40233351428094 5.56101514378845 10.005849874605 10.4444998578605
