"","logFC","logCPM","F","PValue","FDR"
"ZNF717",-1.46317535048201,4.20921649062326,22.0236708942443,0.000446651809024375,0.00087868149153325
"GPR135",1.99452079032722,2.14926261582877,19.7091260433357,0.000447588490097868,0.000880390756397989
"SCD5",-1.78182667071247,2.54407413040863,19.7660103433236,0.00044771923284002,0.00088051449125204
"NAPA-AS1",1.98542191293499,2.20803006017357,19.9906275364434,0.000447943647211947,0.000880822381580226
"PSMB7",1.79133258970879,6.73148886834752,21.8854172603586,0.000448127025821617,0.000881049499419053
"CYB5RL",-0.912272388406468,4.89093194733782,21.9015703024447,0.000448428930703339,0.00088145744806808
"NPHP3",1.10505002016981,3.84365871453536,21.9566211350936,0.000448470337984715,0.00088145744806808
"AARSD1",1.17825661133626,3.99890206614436,21.9351851557598,0.000448875711042865,0.000882120625183405
"SYNPO",1.55978940078504,5.24422275578423,21.8846572930822,0.00044894517726684,0.000882123584759852
"ZNF692",1.22811122053737,3.84278331524541,21.9563775721264,0.000449039320544084,0.000882175023560196
"GIT1",1.42064871765911,4.44916804202379,21.9009827765384,0.000449407864439083,0.000882765448005341
"GABRR2",-1.95574443307556,3.33903257985111,21.5044428805494,0.000449925894529003,0.000883649282945448
"KDM3A",1.36631322315472,6.60838795891349,21.8503195999819,0.000451159910802171,0.000885837277273169
"CALHM1",-2.59787661568236,2.18370426743208,17.6302136143922,0.000451176443763707,0.000885837277273169
"PTP4A3",1.27791039455752,4.76296743784584,21.8638443019399,0.000451340474424057,0.000885962124269123
"PSME2P1",1.8721968480699,2.74666067860797,21.6651176689672,0.000451376542973167,0.000885962124269123
"TBL3",-1.15893032744988,5.4636887518716,21.8554111996277,0.000451511623519646,0.000886093267808437
"EBLN2",2.84594151698907,1.98837643029067,17.6135291953649,0.000454047259661227,0.000890934758942212
"EMID1",2.47467541858812,4.20417484281817,21.9439868374903,0.000454415039640158,0.000891521646694264
"POC1A",1.31676453910525,3.49314852885765,21.9435274960156,0.000456503827401145,0.000895484310059977
"PSAT1",2.7125774169508,6.22873160231286,21.7697808327046,0.000458732459908006,0.000899720055848582
"ABHD13",1.03386338278862,4.1686347873792,21.7990769252324,0.000458976407632971,0.000900062512626676
"NCAPH2",-1.20569380202471,5.81040820100748,21.7568430583843,0.00045977637919124,0.000901495075816057
"ADAM8",1.27544136806153,5.38560050564864,21.7483529612964,0.000460558100365344,0.000902891427691009
"ZNF710-AS1",1.46385226534933,2.3095220351622,21.0163676905325,0.00046217662239127,0.00090592759870714
"CAPN3",-1.46554185927414,4.67954489618269,21.772043519926,0.000462905943243387,0.000907220163566233
"MKS1",1.31675374003729,3.53622480224907,21.8523230776372,0.000463657469260231,0.000908555850090247
"NECTIN4",-2.41975396683959,3.88414253870297,21.5960117540881,0.000464616647710846,0.000910297975439513
"HBS1L",0.759162363547013,6.3641632271094,21.6955504091644,0.000464787928745439,0.00091049612362146
"OLFM3",-3.06593342002543,2.26118350195464,17.9234168803487,0.000466244223410817,0.000913211109079887
"TMEM161B",0.935343645876323,5.17928535970071,21.6820145258687,0.000466572054352533,0.000913715338789359
"HSPA12A",-2.52234984152217,3.88544028641076,21.4984421703182,0.000467007213914026,0.000914429572575661
"CYBB",2.9936019289123,6.09209012671333,21.6771734663375,0.000467457405985802,0.000915173021070243
